Date,RBA Interest Rate,Inflation,,,
1/03/11,0.0475,0.033
28/02/11,0.0475,0.028
25/02/11,0.0475,0.028
24/02/11,0.0475,0.028
23/02/11,0.0475,0.028
22/02/11,0.0475,0.028
21/02/11,0.0475,0.028
18/02/11,0.0475,0.028
17/02/11,0.0475,0.028
16/02/11,0.0475,0.028
15/02/11,0.0475,0.028
14/02/11,0.0475,0.028
11/02/11,0.0475,0.028
10/02/11,0.0475,0.028
9/02/11,0.0475,0.028
8/02/11,0.0475,0.028
7/02/11,0.0475,0.028
4/02/11,0.0475,0.028
3/02/11,0.0475,0.028
2/02/11,0.0475,0.028
1/02/11,0.0475,0.028
31/01/11,0.0475,0.028
28/01/11,0.0475,0.028
27/01/11,0.0475,0.028
26/01/11,0.0475,0.028
25/01/11,0.0475,0.028
24/01/11,0.0475,0.028
21/01/11,0.0475,0.028
20/01/11,0.0475,0.028
19/01/11,0.0475,0.028
18/01/11,0.0475,0.028
17/01/11,0.0475,0.028
14/01/11,0.0475,0.028
13/01/11,0.0475,0.028
12/01/11,0.0475,0.028
11/01/11,0.0475,0.028
10/01/11,0.0475,0.028
7/01/11,0.0475,0.028
6/01/11,0.0475,0.028
5/01/11,0.0475,0.028
4/01/11,0.0475,0.028
3/01/11,0.0475,0.028
31/12/10,0.0475,0.028
30/12/10,0.0475,0.028
29/12/10,0.0475,0.028
27/12/10,0.0475,0.028
24/12/10,0.0475,0.028
23/12/10,0.0475,0.028
22/12/10,0.0475,0.028
21/12/10,0.0475,0.028
20/12/10,0.0475,0.028
17/12/10,0.0475,0.028
16/12/10,0.0475,0.028
15/12/10,0.0475,0.028
14/12/10,0.0475,0.028
13/12/10,0.0475,0.028
10/12/10,0.0475,0.028
9/12/10,0.0475,0.028
8/12/10,0.0475,0.028
7/12/10,0.0475,0.028
6/12/10,0.0475,0.028
3/12/10,0.0475,0.028
2/12/10,0.0475,0.028
1/12/10,0.0475,0.028
30/11/10,0.0475,0.029
29/11/10,0.0475,0.029
26/11/10,0.0475,0.029
25/11/10,0.0475,0.029
24/11/10,0.0475,0.029
23/11/10,0.0475,0.029
22/11/10,0.0475,0.029
19/11/10,0.0475,0.029
18/11/10,0.0475,0.029
17/11/10,0.0475,0.029
16/11/10,0.0475,0.029
15/11/10,0.0475,0.029
12/11/10,0.0475,0.029
11/11/10,0.0475,0.029
10/11/10,0.0475,0.029
9/11/10,0.0475,0.029
8/11/10,0.0475,0.029
5/11/10,0.0475,0.029
4/11/10,0.0475,0.029
3/11/10,0.0475,0.029
2/11/10,0.045,0.029
1/11/10,0.045,0.029
29/10/10,0.045,0.029
28/10/10,0.045,0.029
27/10/10,0.045,0.029
26/10/10,0.045,0.029
25/10/10,0.045,0.029
22/10/10,0.045,0.029
21/10/10,0.045,0.029
20/10/10,0.045,0.029
